Center,CAReportName,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Mo. Bdgt Var May 2025,Mo. Bdgt May 2025,YTD May 2025,YTD Bdgt May 2025,YTD May 2024
2001-001 Knoxville GI,1111-1102 Depository - Refund disbursement,-6793.24,-8818.99,-46051.45,-16204.66,-6119.64,-14908.54,0.00,0.00,0.00,0.00,-83284.29,0.00,-46062.54
2001-001 Knoxville GI,1111-1105 Depository - Non capitated collection,1076489.38,1262918.85,861015.39,1047494.45,935332.24,987276.09,0.00,0.00,0.00,0.00,3831118.17,0.00,4462189.04
2001-001 Knoxville GI,1111-1147 Depository - Grant collections,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,1131-1102 Disbursements - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,1134-1102 Practice cash - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,5312-5303 GP capital current year - Distribution,227613.00,314874.00,231846.00,262038.00,187272.00,303909.00,249900.00,0.00,249900.00,0.00,1234965.00,0.00,835941.00
2001-001 Knoxville GI,5322-5303 LP capital current year - Distribution,218687.00,302526.00,222754.00,251762.00,179928.00,291991.00,240100.00,0.00,240100.00,0.00,1186535.00,0.00,803159.00
2001-001 Knoxville GI,6101-6001 GI revenue,-2960525.05,-2843769.04,-2675172.00,-2541623.02,-2586373.07,-2580482.06,128717.00,0.00,2868159.13,-2739442.13,-10254933.15,-11775303.28,-12483133.35
2001-001 Knoxville GI,6115-6001 Pain management revenue,0.00,-11500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,6201-6001 Contract adj GI,1861775.51,1764516.92,1595434.91,1624097.11,1622692.39,1563928.04,0.00,0.00,-1737652.25,1737652.25,6406152.45,7464006.27,7966699.34
2001-001 Knoxville GI,6301-6001 Bad debt exp GI,11842.10,11421.08,40700.69,10166.49,10345.49,10321.93,0.00,0.00,10911.47,10911.47,71534.60,46869.74,63932.54
2001-001 Knoxville GI,7115-0000 Clinical salaries,172305.24,167997.50,167870.38,150198.33,165587.52,170050.08,-119989.86,0.00,289802.71,169812.85,533716.45,728258.89,777978.32
2001-001 Knoxville GI,7116-0000 Clinical overtime,8631.83,5528.70,921.37,4281.34,5625.29,450.36,0.00,0.00,6189.86,6189.86,11278.36,23480.92,24736.47
2001-001 Knoxville GI,7117-0000 Administrative support salaries,93825.38,97331.65,103055.75,80254.83,100654.44,96387.90,-132588.25,0.00,222345.21,89756.96,247764.67,448784.78,399382.84
2001-001 Knoxville GI,7125-0000 Temporary labor clinical,10440.66,8586.01,3837.12,2207.31,5267.22,12902.11,-2500.00,0.00,2500.00,0.00,21713.76,0.00,20089.78
2001-001 Knoxville GI,7127-0000 Temporary labor,14722.02,14202.24,11066.05,10874.51,11651.82,1401.34,0.00,0.00,0.00,0.00,34993.72,0.00,50267.61
2001-001 Knoxville GI,7129-0000 Accrued compensation,5044.02,7285.56,5230.82,5230.82,5230.82,5230.82,5230.82,0.00,-1330.49,3900.33,26154.10,19501.65,43217.96
2001-001 Knoxville GI,7141-0000 FICA,24689.06,20504.96,18538.80,17911.40,21963.14,20383.64,-19923.26,0.00,39589.48,19666.22,58873.72,88838.82,89808.15
2001-001 Knoxville GI,7143-0000 Federal unemployment,166.95,33.58,1158.48,1667.20,222.33,-96.33,-329.24,0.00,465.17,135.93,2622.44,2448.67,2705.69
2001-001 Knoxville GI,7145-0000 State unemployment,69.93,14.37,503.42,696.07,86.11,-62.88,-125.17,0.00,296.55,171.38,1097.55,1243.58,1131.93
2001-001 Knoxville GI,7161-0000 Pension,23202.91,17413.22,11574.93,9671.45,14475.85,4601.00,-17783.87,0.00,29245.07,11461.20,22539.36,57305.99,59106.16
2001-001 Knoxville GI,7163-0000 Employee insurance,16231.69,12622.51,18313.81,24368.69,18983.59,19131.68,0.00,0.00,17372.47,17372.47,80797.77,86862.34,74217.36
2001-001 Knoxville GI,7165-0000 Workers compensation,291.00,327.55,2115.22,291.00,327.55,291.00,-291.00,0.00,847.74,556.74,2733.77,2783.69,1968.67
2001-001 Knoxville GI,7173-0000 Other employee benefits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.16,30.16,0.00,150.81,288.42
2001-001 Knoxville GI,7201-0000 Medical supplies actual,79739.74,66442.53,78099.60,64643.45,75279.57,73346.40,27931.10,0.00,33539.85,61470.95,319300.12,265477.01,296812.87
2001-001 Knoxville GI,7203-0000 Medical supplies accrual,-3674.00,5511.00,-5864.00,209.00,-601.00,0.00,0.00,0.00,0.00,0.00,-6256.00,0.00,10439.00
2001-001 Knoxville GI,7205-0000 Prescription drugs actual,6853.66,6304.46,7664.66,6582.43,6674.60,6797.65,3970.81,0.00,3778.09,7748.90,31690.15,33285.06,37308.18
2001-001 Knoxville GI,7207-0000 Prescription drugs accrual,775.00,557.00,-1082.00,-250.00,0.00,0.00,0.00,0.00,0.00,0.00,-1332.00,0.00,50.00
2001-001 Knoxville GI,7223-0000 Corporate rebate program,-943.52,-9533.45,-361.79,-1167.44,-5676.44,-251.35,0.00,0.00,-1980.93,-1980.93,-7457.02,-8508.99,-9500.12
2001-001 Knoxville GI,7301-0000 Linen service,7471.46,8905.45,8489.50,6149.13,3638.42,6165.76,3369.88,0.00,5096.12,8466.00,27812.69,42330.00,36532.23
2001-001 Knoxville GI,7303-0000 Cleaning service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,7305-0000 Medical waste,200.00,121.86,521.86,643.72,521.86,521.86,-2000.00,0.00,2496.88,496.88,209.30,2484.40,2615.32
2001-001 Knoxville GI,7306-0000 Medical specialist fee,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,-1500.00,0.00,3000.00,1500.00,4500.00,7500.00,7500.00
2001-001 Knoxville GI,7311-0000 Accounting fees related party,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,7312-0000 Outside accounting services,2700.00,2700.00,2700.00,2700.00,2862.00,2862.00,-2700.00,0.00,5400.00,2700.00,8424.00,13500.00,13500.00
2001-001 Knoxville GI,7313-0000 Legal fees,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00
2001-001 Knoxville GI,7317-0000 Management fee,41809.61,41506.57,39894.77,34627.69,36466.73,35182.61,0.00,0.00,39635.14,39635.14,146171.80,170577.09,169766.69
2001-001 Knoxville GI,7319-0000 Consulting fees,1666.67,1666.67,1666.67,1666.67,1666.67,1666.67,1666.67,0.00,0.00,1666.67,8333.35,8333.35,8333.35
2001-001 Knoxville GI,7321-0000 Collection fees,1629.97,2073.77,1371.06,1535.88,2092.37,1058.24,-3000.00,0.00,4671.63,1671.63,3057.55,8358.15,10211.49
2001-001 Knoxville GI,7323-0000 Contract services,5939.49,7947.29,10550.70,5942.66,6500.62,7108.15,-6325.03,0.00,13868.98,7543.95,23777.10,37719.73,37247.33
