Field,Excel Value,DataBase Value,Variance,Result,Issue,Sheet,Center,CAReport Name
CAReportName,NULL,0 - 31 days percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,0 - 31 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,120+ days percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,120+ days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,31 - 60 days percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,31 - 60 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,61 - 90 days percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,61 - 90 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,91 - 120 days percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,91 - 120 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Accounts receivable greater than 90 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Accounts receivable per general ledger,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,"accounts receivable, net",,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Bad Debt Allowance Percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Bad debt allowance,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Bad Debt expense - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Bad debt percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Collections per visit and procedure,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,"Collections, net of refunds",,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Contractual Adjustment Percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Contractual Adjustments - Facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Contractual Allowance Percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Contractual Allowance,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Credit Balances,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Facility: 0 - 30 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: 0 - 30 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
CAReportName,Facility: 0 - 30 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
CAReportName,NULL,Facility: 120+ days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: 120+ days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
CAReportName,Facility: 120+ days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
CAReportName,NULL,Facility: 31 - 60 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: 31 - 60 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
CAReportName,Facility: 31 - 60 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
CAReportName,NULL,Facility: 61 - 90 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: 61 - 90 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
CAReportName,Facility: 61 - 90 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
CAReportName,NULL,Facility: 91 - 120 days,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: 91 - 120 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
CAReportName,Facility: 91 - 120 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
CAReportName,NULL,Facility: A211-0000 Gross days in AR,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: A211-0000 Gross days in AR,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
CAReportName,Facility: Accounts receivable greater than 90 days,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
CAReportName,NULL,Facility: Accounts receivable per general ledger,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Accounts receivable per general ledger,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
CAReportName,NULL,"Facility: Accounts receivable, net",,Missing in Excel,Missing in Excel,Facility,,
CAReportName,"Facility: Accounts receivable, net",NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
CAReportName,Facility: Bad debt allowance percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
CAReportName,NULL,Facility: Bad debt allowance,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Bad debt allowance,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
CAReportName,Facility: Bad debt expense - facility,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
CAReportName,NULL,Facility: Bad debt expense - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Bad debt expense percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
CAReportName,"Facility: Bad debt write-offs, net of recoveries",NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
CAReportName,NULL,"Facility: Bad debt write-offs, net of recoveries",,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Collections per visit and procedure,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
CAReportName,"Facility: Collections, net of refunds",NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
CAReportName,NULL,"Facility: Collections, net of refunds",,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Contractual adjustment percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
CAReportName,Facility: Contractual adjustments - facility,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
CAReportName,NULL,Facility: Contractual adjustments - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Contractual allowance percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
CAReportName,NULL,Facility: Contractual allowance,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Contractual allowance,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
CAReportName,Facility: Contractual write-offs,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
CAReportName,NULL,Facility: Contractual write-offs,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Facility: Credit balances,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Credit balances,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
CAReportName,Facility: Gross charge per visit and procedure,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
CAReportName,Facility: Gross charges - facility,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
CAReportName,NULL,Facility: Gross charges - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Net revenue - facility,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
CAReportName,NULL,Facility: Net revenue - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Net revenue per visit and procedure,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
CAReportName,Facility: Non-aged balances,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
CAReportName,Facility: Reconciling difference,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
CAReportName,Facility: Refunds - facility,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
CAReportName,NULL,Facility: Refunds - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Facility: Total accounts receivable aging,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Total accounts receivable aging,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
CAReportName,Facility: Total adjustment percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
CAReportName,Facility: Total aging percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
CAReportName,Facility: Total allowance percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
CAReportName,Facility: Total cases,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
CAReportName,NULL,Facility: Total cases,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Total procedures,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
CAReportName,NULL,Facility: Total procedures,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Total write-offs,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
CAReportName,NULL,Facility: Total write-offs,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Units,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
CAReportName,NULL,Facility: Units,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,Facility: Visits,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
CAReportName,NULL,Facility: Visits,,Missing in Excel,Missing in Excel,Facility,,
